gemeente,fractie,aantal_leden,totaal_raad,in_schepencollege,voorzitter_gemeenteraad,in_coalitie_volgens_wikipedia
Aalst,CD&V,6,43,ja,nee,ja
Aalst,Groen,4,43,nee,nee,nee
Aalst,LijstA,2,43,nee,nee,nee
Aalst,N-VA,16,43,ja,ja,ja
Aalst,Open VLD,4,43,ja,nee,ja
Aalst,SP.a,3,43,nee,nee,nee
Aalst,Vlaams Belang,8,43,nee,nee,nee
Aalter,CD&V/N-VA,20,30,nee,nee,ja
Aalter,Groen,6,30,nee,nee,nee
Aalter,Onbekend,1,30,nee,nee,nee
Aalter,Open Vld Plus,2,30,nee,nee,nee
Aalter,VLAAMS BELANG,1,30,nee,nee,nee
Aarschot,CD&V,6,29,nee,nee,nee
Aarschot,Groen,3,29,nee,nee,nee
Aarschot,N-VA,3,29,nee,nee,ja
Aarschot,Onbekend,1,29,nee,nee,nee
Aarschot,Open Vld,10,29,ja,ja,ja
Aarschot,VLAAMS BELANG,2,29,nee,nee,nee
Aarschot,Vooruit,4,29,ja,nee,ja
Aartselaar,Groen,2,24,nee,nee,ja
Aartselaar,N-VA,12,24,nee,nee,ja
Aartselaar,Onafhankelijk,1,24,nee,nee,nee
Aartselaar,Onbekend,1,24,nee,nee,nee
Aartselaar,Open Vld,4,24,nee,nee,nee
Aartselaar,Samen NAP,3,24,nee,nee,nee
Aartselaar,cdd79247-de17-405a-b0d6-1aacb12db93f,1,24,nee,ja,nee
Affligem,GROEN,1,23,nee,nee,nee
Affligem,LIJST BURGEMEESTER,10,23,ja,ja,ja
Affligem,N-VA,6,23,nee,nee,nee
Affligem,OPEN2040,6,23,ja,nee,ja
Alken,CD&V,1,22,nee,nee,nee
Alken,Groen,3,22,ja,nee,ja
Alken,N-VA,11,22,ja,nee,ja
Alken,Onbekend,1,22,nee,nee,nee
Alken,Open Vld,6,22,nee,nee,nee
Alveringem,GEMEENTEBELANGENCD&V,10,18,nee,nee,ja
Alveringem,Onbekend,1,18,nee,nee,nee
Alveringem,PRO & N-VA,7,18,nee,nee,nee
Antwerpen,CD&V,2,55,nee,nee,nee
Antwerpen,Groen,11,55,nee,nee,nee
Antwerpen,N-VA,23,55,ja,ja,ja
Antwerpen,Onbekend,1,55,nee,nee,nee
Antwerpen,Open VLD,2,55,ja,nee,ja
Antwerpen,PVDA,4,55,nee,nee,nee
Antwerpen,VLAAMS BELANG,6,55,nee,nee,nee
Antwerpen,Vooruit,6,55,ja,nee,ja
Anzegem,CD&V-EENDRACHT,1,10,nee,nee,ja
Anzegem,INZET,2,10,nee,nee,ja
Anzegem,Onbekend,1,10,nee,nee,nee
Anzegem,Samen één,6,10,ja,nee,ja
Ardooie,GROEP 82,5,5,ja,ja,ja
Arendonk,Arendonk Positief,2,23,nee,nee,nee
Arendonk,N-VA,10,23,ja,nee,ja
Arendonk,VLAAMS BELANG,2,23,nee,nee,nee
Arendonk,Vooruit - Groen,3,23,nee,nee,nee
Arendonk,iedereen 2370,6,23,ja,ja,nee
As,CD&V,4,20,nee,nee,nee
As,N-VA,2,20,nee,nee,nee
As,Onbekend,1,20,nee,nee,nee
As,VOLUIT!,11,20,ja,nee,ja
As,sp.a,2,20,nee,nee,nee
Asse,ANDERS,5,32,nee,nee,nee
Asse,CD&V,9,32,nee,nee,ja
Asse,Groen,3,32,nee,nee,nee
Asse,N-VA,8,32,nee,nee,ja
Asse,Onbekend,2,32,nee,nee,nee
Asse,VLAAMS BELANG,1,32,nee,nee,nee
Asse,ZELLIKRELEGEM-VOLK,4,32,nee,nee,nee
Assenede,Anders,8,24,nee,nee,nee
Assenede,SamenPlus,13,24,ja,ja,ja
Assenede,Vlaams Belang,3,24,nee,nee,nee
Avelgem,CD&V,3,13,nee,nee,nee
Avelgem,N-VA,1,13,nee,nee,nee
Avelgem,Tandem,3,13,nee,nee,ja
Avelgem,gbA-GEMEENTEBELANGEN,6,13,nee,ja,ja
Baarle-Hertog,CDK,4,12,nee,nee,nee
Baarle-Hertog,FORUM+,4,12,ja,ja,ja
Baarle-Hertog,N-VA,4,12,ja,nee,ja
Balen,CD&V,12,27,ja,ja,ja
Balen,N-VA,6,27,nee,nee,nee
Balen,Onafhankelijk,1,27,nee,nee,nee
Balen,Open Vld Plus,1,27,nee,nee,nee
Balen,VLAAMS BELANG,4,27,nee,nee,nee
Balen,sp.a Balen 2025,3,27,ja,nee,ja
Beernem,CD&V,1,26,nee,nee,ja
Beernem,CD&V Beernem,11,26,nee,nee,nee
Beernem,GROEN,3,26,nee,nee,ja
Beernem,N-VA,9,26,nee,nee,nee
Beernem,Onbekend,1,26,nee,nee,nee
Beernem,sp.a,1,26,nee,nee,ja
Beerse,BEERSEplus,3,26,ja,nee,ja
Beerse,CDE-Vlim.be,11,26,ja,ja,ja
Beerse,Groen-Hart v. Beerse,2,26,nee,nee,ja
Beerse,N-VA,7,26,nee,nee,nee
Beerse,Vlaams Belang,3,26,nee,nee,nee
Beersel,Blauw beersel,1,13,nee,nee,nee
Beersel,Lijst BURGEMEESTER,3,13,nee,nee,ja
Beersel,Onbekend,1,13,nee,nee,nee
Beersel,WijZijnBeersel,4,13,nee,nee,nee
Beersel,union francophone,4,13,nee,nee,nee
Begijnendijk,LEEF,2,21,ja,nee,ja
Begijnendijk,MGB,9,21,nee,nee,nee
Begijnendijk,N-VA,2,21,ja,nee,ja
Begijnendijk,S.A.F.E.,2,21,ja,nee,ja
Begijnendijk,samen,6,21,ja,ja,ja
Bekkevoort,Bekkevoort Beter,1,18,nee,nee,nee
Bekkevoort,CD&V,7,18,ja,ja,ja
Bekkevoort,GBL,1,18,nee,nee,nee
Bekkevoort,N-VA,2,18,nee,nee,nee
Bekkevoort,ONS DORP,6,18,ja,nee,ja
Bekkevoort,Open Vld,1,18,nee,nee,nee
Beringen,CD&V,9,36,nee,nee,ja
Beringen,Groen,2,36,nee,nee,nee
Beringen,N-VA,6,36,nee,nee,ja
Beringen,Onbekend,1,36,nee,nee,nee
Beringen,VLAAMS BELANG,3,36,nee,nee,nee
Beringen,VOLUIT,6,36,nee,nee,ja
Beringen,Vooruit,8,36,nee,nee,nee
Beringen,sp.a,1,36,nee,nee,nee
Berlaar,CD&V,8,21,ja,ja,ja
Berlaar,Groen,2,21,nee,nee,nee
Berlaar,N-VA,3,21,nee,nee,ja
Berlaar,Onbekend,3,21,nee,nee,nee
Berlaar,Vlaams Belang,2,21,nee,nee,nee
Berlaar,kartel BHG,3,21,nee,nee,nee
Berlare,CD&V,6,23,nee,nee,nee
Berlare,Gemeentebelangen,1,23,nee,nee,nee
Berlare,N-VA,2,23,nee,nee,ja
Berlare,Open Vld,12,23,ja,ja,ja
Berlare,VLAAMS BELANG,1,23,nee,nee,nee
Berlare,Vooruit en Groen,1,23,nee,nee,nee
Bertem,CD&V,6,21,ja,nee,ja
Bertem,GEMBELANGEN OPEN VLD,8,21,ja,ja,ja
Bertem,GROEN,2,21,nee,nee,nee
Bertem,N-VA,2,21,nee,nee,nee
Bertem,Onafhankelijk,1,21,nee,nee,nee
Bertem,sp.a,2,21,nee,nee,nee
Bever,OPEN VOOR DE MENS,5,11,nee,nee,nee
Bever,Thuis in Bever,6,11,ja,ja,ja
Beveren,Beveren 2020,2,35,nee,nee,nee
Beveren,CD&V Beveren,13,35,ja,ja,nee
Beveren,Groen,2,35,nee,nee,nee
Beveren,Groen-sp.a Beveren,2,35,nee,nee,nee
Beveren,N-VA,10,35,ja,nee,ja
Beveren,Onafhankelijken,1,35,nee,nee,nee
Beveren,Open Vld,1,35,nee,nee,nee
Beveren,VLAAMS BELANG,3,35,nee,nee,nee
Beveren,Vooruit,1,35,nee,nee,nee
Bierbeek,CD&V,8,22,nee,nee,ja
Bierbeek,N-VA,3,22,nee,nee,nee
Bierbeek,Onbekend,1,22,nee,nee,nee
Bierbeek,Open Bierbeek,5,22,nee,nee,nee
Bierbeek,sp.a Groen,5,22,nee,nee,ja
Bilzen-Hoeselt,BETER BILZEN,7,32,nee,nee,onbekend
Bilzen-Hoeselt,BILZEN BRUIST,3,32,nee,nee,onbekend
Bilzen-Hoeselt,Groen,1,32,nee,nee,onbekend
Bilzen-Hoeselt,N-VA,6,32,nee,nee,onbekend
Bilzen-Hoeselt,Onbekend,1,32,nee,nee,onbekend
Bilzen-Hoeselt,ToB,12,32,nee,nee,onbekend
Bilzen-Hoeselt,VLAAMS BELANG,2,32,nee,nee,onbekend
Blankenberge,CD&V2030,3,27,ja,nee,ja
Blankenberge,N-VA,7,27,ja,nee,ja
Blankenberge,Open Vld,9,27,nee,nee,nee
Blankenberge,Vlaams Belang,2,27,nee,nee,nee
Blankenberge,Vooruit,6,27,ja,ja,ja
Bocholt,BOCHOLT BELEEFT,1,24,nee,nee,nee
Bocholt,N-VA,4,24,nee,nee,ja
Bocholt,NU - Nieuwe Unie,5,24,nee,nee,nee
Bocholt,Onafhankelijk,1,24,nee,nee,nee
Bocholt,Onbekend,1,24,nee,nee,nee
Bocholt,SAMEN,2,24,ja,nee,ja
Bocholt,Via,9,24,nee,nee,ja
Bocholt,Via,1,24,ja,ja,ja
Boechout,'t Dorp,3,24,nee,nee,nee
Boechout,CD&V,2,24,ja,nee,ja
Boechout,Groen-gangmaker,2,24,ja,nee,ja
Boechout,N-VA,5,24,nee,nee,nee
Boechout,PRO Boechout&Vremde,11,24,ja,ja,ja
Boechout,Vlaams Belang,1,24,nee,nee,nee
Bonheiden,BR30,5,23,ja,nee,ja
Bonheiden,CD&V,3,23,ja,ja,ja
Bonheiden,Groen,4,23,nee,nee,nee
Bonheiden,N-VA,6,23,nee,nee,nee
Bonheiden,Onbekend,2,23,nee,nee,nee
Bonheiden,Open VLD,3,23,ja,nee,ja
Boom,BOOM één,7,25,nee,nee,nee
Boom,CD&V,3,25,ja,nee,ja
Boom,Groen,1,25,ja,nee,ja
Boom,N-VA,10,25,ja,ja,ja
Boom,Onbekend,1,25,nee,nee,nee
Boom,VLAAMS BELANG,3,25,nee,nee,nee
Boortmeerbeek,CD&V,3,23,nee,nee,nee
Boortmeerbeek,Groen,3,23,nee,nee,nee
Boortmeerbeek,N-VA,4,23,nee,nee,nee
Boortmeerbeek,Open VLD,11,23,ja,ja,ja
Boortmeerbeek,SP.a,1,23,ja,nee,ja
Boortmeerbeek,Vlaams Belang,1,23,nee,nee,nee
Borgloon,CD&V,2,21,nee,nee,nee
Borgloon,N-VA,2,21,nee,nee,nee
Borgloon,Onbekend,1,21,nee,nee,nee
Borgloon,Open VLD Stroop,9,21,ja,nee,ja
Borgloon,sp.a,7,21,ja,ja,ja
Bornem,CD&V,10,27,nee,nee,nee
Bornem,Iedereen Bornem,10,27,ja,nee,ja
Bornem,N-VA,4,27,ja,ja,ja
Bornem,Vlaams Belang,3,27,nee,nee,nee
Borsbeek,Iedereen Borsbeek,10,22,ja,ja,ja
Borsbeek,N-VA,1,22,nee,nee,ja
Borsbeek,N-VA,9,22,ja,ja,ja
Borsbeek,Vlaams Belang,2,22,nee,nee,nee
Boutersem,CD&V,6,19,ja,ja,ja
Boutersem,Groen,3,19,nee,nee,nee
Boutersem,N-VA,2,19,ja,nee,ja
Boutersem,Onbekend,1,19,nee,nee,nee
Boutersem,Open Vld,2,19,ja,nee,ja
Boutersem,Vooruit,5,19,nee,nee,nee
Brakel,CD&V,3,21,nee,nee,nee
Brakel,N-VA,1,21,nee,nee,nee
Brakel,Onbekend,1,21,nee,nee,nee
Brakel,Open Vld,12,21,ja,ja,ja
Brakel,Vlaams Belang,1,21,nee,nee,nee
Brakel,sp.a,3,21,nee,nee,nee
Brasschaat,Brasschaat 2012,4,34,nee,nee,nee
Brasschaat,CD&V,6,34,nee,nee,nee
Brasschaat,N-VA,17,34,ja,ja,ja
Brasschaat,Onbekend,1,34,nee,nee,nee
Brasschaat,Open VLD,2,34,ja,nee,ja
Brasschaat,PVDA,1,34,nee,nee,nee
Brasschaat,Vlaams Belang,3,34,nee,nee,nee
Brecht,CD&V - CDB,10,29,ja,ja,ja
Brecht,Groen,1,29,nee,nee,nee
Brecht,N-VA,11,29,ja,nee,ja
Brecht,Open VLD,2,29,nee,nee,nee
Brecht,Oprecht Brecht,1,29,nee,nee,nee
Brecht,Vlaams Belang,4,29,nee,nee,nee
Bredene,CD&V,2,25,ja,nee,ja
Bredene,Groen,1,25,nee,nee,nee
Bredene,N_VA/Open Vld,4,25,nee,nee,nee
Bredene,Onbekend,2,25,nee,nee,nee
Bredene,Vlaams Belang,2,25,nee,nee,nee
Bredene,Vooruit,14,25,ja,ja,ja
Bree,BBB,1,25,nee,nee,nee
Bree,N-VA,7,25,ja,nee,ja
Bree,Verjonging,8,25,nee,nee,nee
Bree,Vernieuwing,1,25,nee,nee,nee
Bree,Vooruit,1,25,nee,ja,nee
Bree,onsBree,7,25,ja,nee,nee
Brugge,CD&V,17,48,ja,nee,ja
Brugge,Groen,5,48,nee,nee,nee
Brugge,N-VA,5,48,nee,nee,nee
Brugge,N-VA,1,48,nee,nee,nee
Brugge,Open VLD Plus,6,48,ja,nee,ja
Brugge,Vlaams Belang,4,48,nee,nee,nee
Brugge,Vooruit Brugge,10,48,ja,ja,ja
Buggenhout,CD&V,13,23,ja,ja,ja
Buggenhout,N-VA,5,23,nee,nee,nee
Buggenhout,Open Vld,1,23,nee,nee,nee
Buggenhout,VLAAMS BELANG,4,23,nee,nee,nee
Damme,CD&V+,16,21,ja,ja,ja
Damme,N-VA,3,21,nee,nee,nee
Damme,de Damse belangen,2,21,nee,nee,nee
De Haan,Groen,1,23,nee,nee,nee
De Haan,Lijst burgemeester,10,23,ja,nee,nee
De Haan,Samen Vooruit!,2,23,ja,ja,ja
De Haan,bewust,10,23,nee,nee,nee
De Panne,ACTIE,6,22,nee,nee,ja
De Panne,HET PLAN - B,4,22,nee,nee,ja
De Panne,Lijst Burgemeester,10,22,nee,nee,nee
De Panne,N-VA,1,22,nee,nee,ja
De Panne,Onbekend,1,22,nee,nee,nee
De Pinte,CD&V,9,21,ja,ja,ja
De Pinte,N-VA,3,21,ja,nee,ja
De Pinte,Onbekend,1,21,nee,nee,nee
De Pinte,Open VLD,2,21,nee,nee,nee
De Pinte,Ruimte,6,21,nee,nee,nee
Deerlijk,CD&V,1,22,nee,nee,ja
Deerlijk,CD&V,10,22,ja,ja,ja
Deerlijk,Deerlijk2,2,22,nee,nee,nee
Deerlijk,N-VA,3,22,nee,nee,nee
Deerlijk,Open VLD,6,22,ja,nee,ja
Deinze,CD&V,14,35,ja,nee,ja
Deinze,GroenRood,4,35,nee,nee,nee
Deinze,N-VA,5,35,nee,nee,nee
Deinze,OPEN DEINZE,8,35,ja,ja,ja
Deinze,Onbekend,1,35,nee,nee,nee
Deinze,Vlaams Belang,2,35,nee,nee,nee
Deinze,Vooruit,1,35,nee,nee,nee
Denderleeuw,CD&V,5,27,ja,nee,ja
Denderleeuw,Groen,2,27,ja,nee,ja
Denderleeuw,LVB,7,27,ja,ja,ja
Denderleeuw,N-VA,3,27,nee,nee,nee
Denderleeuw,Plus,1,27,nee,nee,nee
Denderleeuw,Vlaams Belang,9,27,nee,nee,ja
Dendermonde,CD&V,11,35,ja,ja,ja
Dendermonde,Groen,1,35,nee,nee,nee
Dendermonde,N-VA,7,35,ja,nee,ja
Dendermonde,Onbekend,2,35,nee,nee,nee
Dendermonde,Open VLD,4,35,nee,nee,nee
Dendermonde,Vlaams Belang,5,35,nee,nee,nee
Dendermonde,Vooruit,5,35,nee,nee,nee
Dentergem,EENDRACHT,11,19,nee,nee,ja
Dentergem,FOCUS8720,7,19,nee,nee,nee
Dentergem,Onbekend,1,19,nee,nee,nee
Dessel,CD&V,3,21,nee,ja,nee
Dessel,D&W,7,21,nee,nee,nee
Dessel,N-VA,11,21,ja,nee,ja
Destelbergen,CD&V,5,25,nee,nee,nee
Destelbergen,Groen,2,25,nee,nee,nee
Destelbergen,N-VA,6,25,ja,nee,ja
Destelbergen,Open Vld,8,25,ja,ja,ja
Destelbergen,Sp.a,3,25,nee,nee,nee
Destelbergen,Vlaams Belang,1,25,nee,nee,nee
Diepenbeek,CD&V,3,25,ja,nee,ja
Diepenbeek,Groen,2,25,ja,nee,ja
Diepenbeek,N-VA,7,25,ja,ja,ja
Diepenbeek,Open VLD,3,25,ja,nee,ja
Diepenbeek,PUUR Diepenbeek,9,25,nee,nee,nee
Diepenbeek,Pro3590,1,25,nee,nee,nee
Diest,DDS,8,28,nee,nee,ja
Diest,Groen,2,28,nee,nee,nee
Diest,N-VA,3,28,nee,nee,nee
Diest,Onbekend,1,28,nee,nee,nee
Diest,Open Diest,8,28,ja,nee,ja
Diest,Vlaams Belang,1,28,nee,nee,nee
Diest,sp.a,5,28,nee,nee,nee
Diksmuide,CD&V,7,25,ja,ja,ja
Diksmuide,Groen,1,25,nee,nee,nee
Diksmuide,Idee Diksmuide,6,25,ja,ja,ja
Diksmuide,N-VA,6,25,nee,nee,nee
Diksmuide,Onafhankelijk,1,25,nee,nee,nee
Diksmuide,VLAAMS BELANG,1,25,nee,nee,nee
Diksmuide,sp.a-open,3,25,ja,nee,nee
Dilbeek,CD&V,5,36,nee,nee,nee
Dilbeek,DNA!,2,36,nee,nee,nee
Dilbeek,Groen-sp.a,3,36,nee,nee,nee
Dilbeek,LVBurger Open-VLD,10,36,ja,nee,ja
Dilbeek,N-VA LvBurgemeester,9,36,ja,nee,ja
Dilbeek,Onafhankelijk,1,36,nee,nee,nee
Dilbeek,Onbekend,2,36,nee,nee,nee
Dilbeek,Open Vld,1,36,nee,nee,ja
Dilbeek,UF=MR+DÉFI+IND,3,36,nee,nee,nee
Dilsen-Stokkem,CD&V,6,28,nee,nee,nee
Dilsen-Stokkem,N-VA,3,28,nee,nee,nee
Dilsen-Stokkem,Onbekend,1,28,nee,nee,nee
Dilsen-Stokkem,Open Vld,10,28,nee,nee,ja
Dilsen-Stokkem,VOORUIT DILS-STOK,7,28,nee,nee,ja
Dilsen-Stokkem,Voor U,1,28,nee,nee,nee
Drogenbos,Drogenbos Plus,9,18,ja,ja,ja
Drogenbos,Onbekend,3,18,nee,nee,nee
Drogenbos,UF,4,18,ja,nee,nee
Drogenbos,go1620,2,18,nee,nee,nee
Duffel,CD&V,6,25,ja,nee,ja
Duffel,Groen,6,25,nee,nee,nee
Duffel,N-VA,10,25,ja,ja,ja
Duffel,Open VLD,1,25,nee,nee,nee
Duffel,Vlaams Belang,2,25,nee,nee,nee
Edegem,CD&V,3,27,nee,nee,nee
Edegem,Groen,5,27,nee,nee,nee
Edegem,N-VA,18,27,ja,ja,ja
Edegem,Open Vld,1,27,nee,nee,nee
Eeklo,CD&V,6,28,nee,nee,nee
Eeklo,Groen,3,28,nee,nee,ja
Eeklo,N-VA,6,28,nee,nee,nee
Eeklo,Onafhankelijk,1,28,nee,nee,nee
Eeklo,Onbekend,1,28,nee,nee,nee
Eeklo,Open Vld,4,28,nee,nee,ja
Eeklo,SMS EEKLO,6,28,ja,nee,ja
Eeklo,Vlaams Belang,1,28,nee,nee,nee
Erpe-Mere,CD&V,12,25,ja,ja,ja
Erpe-Mere,LEF,1,25,nee,nee,nee
Erpe-Mere,N-VA,5,25,ja,nee,ja
Erpe-Mere,Open Vld,1,25,nee,nee,nee
Erpe-Mere,Sterk!,1,25,nee,nee,nee
Erpe-Mere,VLAAMS BELANG,3,25,nee,nee,nee
Erpe-Mere,Vooruit-Groen,2,25,nee,nee,nee
Essen,CD&V ESSEN,9,25,ja,ja,ja
Essen,N-VA/PLE,9,25,nee,nee,nee
Essen,Onbekend,1,25,nee,nee,nee
Essen,VLAAMS BELANG,2,25,nee,nee,nee
Essen,sp.a-JijmaaktEssen,4,25,ja,nee,ja
Evergem,#sterk!,3,33,nee,nee,nee
Evergem,CD&V,9,33,ja,nee,ja
Evergem,Groen,3,33,nee,nee,nee
Evergem,N-VA,14,33,ja,ja,ja
Evergem,Vlaams Belang,4,33,nee,nee,nee
Galmaarden,CD&V,11,19,ja,ja,ja
Galmaarden,GB.G,1,19,nee,nee,nee
Galmaarden,N-VA,6,19,nee,nee,nee
Galmaarden,Vlaams Belang,1,19,nee,nee,nee
Gavere,CD&V,2,23,nee,nee,ja
Gavere,Gavere durft/N-VA,9,23,nee,nee,nee
Gavere,Groen,2,23,nee,nee,nee
Gavere,Open Vld -VOG,9,23,nee,ja,ja
Gavere,sp.a,1,23,nee,nee,ja
Geel,CD&V,10,33,ja,ja,ja
Geel,DURF,2,33,nee,nee,nee
Geel,De Brugpartij,5,33,nee,nee,nee
Geel,N-VA,9,33,ja,nee,ja
Geel,Onafhankelijk,1,33,nee,nee,nee
Geel,Onbekend,1,33,nee,nee,nee
Geel,PVDA,1,33,nee,nee,nee
Geel,Vlaams Belang,4,33,nee,nee,nee
Geetbets,CD&V,3,16,nee,nee,nee
Geetbets,Hart Dorp,3,16,ja,nee,ja
